label,start-end,text
Casado,737-737,
Casado,740-747,castigan a Susana Díaz y pacta con podemos y gobierna para Pedro Sánchez es un balón de oxígeno para estar un añito más en Moncloa
Casado,190-193,si no hay ningún contratiempo avísame
Casado,367-383,el apoyo de Estado lo tienen a pesar de haber sido tan desleales tan mentirosos tan irresponsables que tiene el apoyo del Partido Popular aunque sea para salvar la honra lo que me da miedo y lo que me da pena es que España está en manos de estar
Iglesias,384-393,ayer escribí al presidente elegido muy claro para defender a la gente trabajadora del Campo de Gibraltar puede contar con nuestro apoyo para patrioterismo se extraños
Iglesias,487-488,del Internet
Iglesias,507-509,pero no de ti se definitivamente
Iglesias,512-513,diálogo que
Iglesias,600-608,creo que no miento si digo que el estilo político parlamentario rufián ista quizá no sea en estos momentos latac
Iglesias,613-624,aunque mantengan prietas las filas no es una buena noticia que se haya roto la mayoría de la moción de censura a la hora de negociar con Bruselas
Pedro,632-641,yo no me voy a meter ni mis queer en los calendarios internos que haga cada partido insisto simplemente en que tubo se toma
Pedro,648-649,antes de que se
Pedro,128-141,garantías suficientes y por tanto España mantiene el veto al acuerdo del brexit si no hay acuerdo es evidente que lo que va a ocurrir es que el Consejo Europeo muy probablemente no sé
